smiles,value,log_value,init_value
O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CCNCC2)ccc1Cl,5.2,1.6486586255873816,0.6947884317525903
NC(=O)c1ccc(-c2cc(-c3ccc([N+](=O)[O-])cc3)nc(-c3ccco3)c2)cc1,1.6,0.4700036292457356,0.5184648030423189
O=C(c1ccc(Oc2ccc(F)cc2)nc1)N1CCCN(C2CCC2)CC1,0.7,-0.3566749439387324,0.3947959039553597
N#CC1CC2Cc3[nH]ncc3C(C1)N2S(=O)(=O)c1ccc(Cl)cc1,1.017,0.0168571170664228,0.4506752992325885
CCCN1C(=O)[C@H](NC(=O)Nc2ccc(N3CCC(N4CCCCC4)CC3)cc2)N=C(c2ccc(C)cc2)c2ccccc21,4.3,1.4586150226995167,0.6663584180688836
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC2(C(=O)O)CCCCCCC2)c(C)c1,5.4,1.6863989535702288,0.7004342836764408
Cc1nc(Nc2cc(-c3cccc(NS(=O)(=O)c4ccccc4)c3)n[nH]2)cc(N2CCN(C)CC2)n1,4.2,1.4350845252893227,0.6628383187169946
CCN1CCN(c2ccc(C(C)(C)NC(=O)c3cc4[nH]c5ccccc5c(=O)c4cc3F)cn2)CC1,3.6,1.2809338454620642,0.6397777901317334
CCc1cc(CC)nc(OCCCn2c3c(c4cc(-c5nc(C)no5)ccc42)CCCC3)n1,3.22,1.169381359556317,0.6230898371958844
Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4)N(C)C(=O)CO5)CC3)cccc2n1,1.3,0.262364264467491,0.4874025105356627
COc1ccc(-c2nnc(-c3ccc4nc(-c5c(C)cc(CC(C)(C)C(=O)O)cc5C)[nH]c4c3)o2)cc1,1.9,0.6418538861723947,0.544173140927579
CN1CCN(Cc2ccc(NC(=O)c3ccc(F)c(C#Cc4cnc5cccnn45)c3)cc2C(F)(F)F)CC1,5.9,1.7749523509116738,0.7136816345995943
CC(=O)NCCSc1nc2cscc2c(=O)n1-c1ccc(OCC(F)(F)F)cc1,2.0,0.6931471805599453,0.5518464803042319
Cc1cc(Oc2nccc3occc23)ccc1-c1c(C)ncc2nccn12,2.3,0.8329091229351039,0.5727544923278288
O=c1c2c(oc(O)c1[C@@H](c1cccc(NS(=O)(=O)c3ccc(F)cc3)c1)C1CC1)CCCCCC2,6.0,1.791759469228055,0.7161959344574029
CC(C)[C@]1(C)SC(N[C@H]2C[C@H]3C[C@@H]2C[C@H]3O)=NC1=O,2.41,0.8796267475025636,0.5797433237619858
CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(NS(C)(=O)=O)cc3)cc1)CC2.Cl,2.283,0.8254903675476585,0.5716446664037982
O=C1O[C@H]([C@H](O)CCc2ccccc2)[C@@H](c2ccc(O)cc2)N1c1cccc(F)c1,1.183,0.1680535849962497,0.4732938856351491
COc1ccccc1-n1c(C)nc(C(=O)NCCCN2CCN(c3cccc(Cl)c3C)CC2)c1C.Cl.Cl.Cl,0.226,-1.487220279709851,0.2256693515347101
O=c1[nH]c2cc(-c3ccncn3)c(-c3ccco3)nc2[nH]1,1.0,0.0,0.4481535196957681
CCC[C@H](C(N)=O)[C@@H](C)CC,1.5,0.4054651081081644,0.5088100132404754
COc1cc2nccc(CN3CCc4c(cccc4C(=O)Nc4ccc(F)c(C(F)(F)F)c4)C3)c2cc1OC,7.4,2.0014800002101243,0.7475695638507192
Cc1cc(NC(=O)c2ccc(CN3CCCC3)cc2)nn1Cc1cc(Cl)ccc1OCC(C)C.Cl,1.4,0.3364722366212129,0.4984888645638235
CC(C)n1cc(C[C@H](NC(=O)c2c(Cl)cc3c(c2Cl)CCN(C(=O)c2ccc4ccoc4c2)C3)C(=O)O)nn1,0.97,-0.0304592074847085,0.4435969038853634
COc1ccc2ncc(F)c([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(F)ccc5F)C4)C[C@@H]3C(=O)O)c2n1,0.67,-0.4004775665971252,0.388243148994725
O=C1CCc2cc(-c3cccnc3)ccc21,2.4,0.8754687373538999,0.5791212965870262
COc1ccc(CCNC(=O)OCc2oc(=O)oc2C)cc1OC,0.1833,-1.6966311241364778,0.194342050420142
N#C[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1cccs1,0.5,-0.6931471805599453,0.3444605590873043
COc1ccc2c(c1)CCc1c-2c2c(c3c4ccccc4n(CCO)c13)CNC2=O,0.6,-0.5108256237659907,0.3717353753700985
CCc1cc(-c2noc(-c3cc(OC)nc(C4CCCC4)c3)n2)cc(C)c1OC[C@@H](O)CNC(=O)CO,18.0,2.8903717578961645,0.8805453886105741
C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,10.33,2.3350522831315472,0.7974710834170318
CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccc(F)c(F)c2)cc1,3.7,1.308332819650179,0.6438766032422554
CC(=O)N1CCN(C[C@@H](C)NC(=O)c2cc3c(-c4ccccc4)nn(C)c3s2)CC1,1.6,0.4700036292457356,0.5184648030423189
Oc1ccc2[nH]c(CN3CCC(Cc4ccccc4)CC3)nc2c1,8.0,2.0794415416798357,0.7592324015211593
Cc1cnc(COC(=O)NC(C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)C[C@H](Cc2ccccc2)NC(=O)OCc2cccnc2)C(C)C)cn1,0.18,-1.7147984280919266,0.1916242704359653
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cccnc3)NC(=O)NC1=O)C2,2.2,0.7884573603642703,0.5661046277759588
CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@]23CCOC3)cc1F,4.1,1.410986973710262,0.6592333895811228
O=C(Nc1ccc(C(F)(F)F)cc1)N1CCC2(CC1)C(=O)N(c1ccccn1)[C@H]2c1ccccc1,2.5,0.9162907318741552,0.5852281575661449
O=C(Nc1nc2ccccc2[nH]1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,1.1,0.0953101798043249,0.462411667167495
COc1ccc(C#CC(C)(C)N)cc1-c1[nH]nc2nc(Nc3ccc(F)cc3F)cnc12,2.6,0.9555114450274363,0.5910954711441265
Cn1cc(-c2ccc3nnc(Sc4ccc5ncc(N6CCC7(CCOCC7)C6)cc5c4)n3c2)cn1,3.033,1.109552228706444,0.6141395595601262
CN1C(=O)NC(=O)[C@]12Cc1ccc(NC(=O)Cn3c(=O)n(-c4nccs4)c4ccccc43)cc1C2,2.0,0.6931471805599453,0.5518464803042319
CCS(=O)(=O)c1ccc(Oc2cc(O[C@@H](C)CO)cc(-c3nccc(=O)[nH]3)c2)cc1,1.8,0.5877866649021191,0.5360848295232696
O=C(N[C@@H](Cc1ccc(F)c(Br)c1)C(=O)O)c1cc(Cl)c(Cl)cc1NS(=O)(=O)c1cccc2nsnc12,6.2,1.824549292051046,0.7211012040764704
O=C(O)CC(Cc1cc(OCCCNC2=NCCN2)no1)c1ccc2c(c1)OCO2,0.5,-0.6931471805599453,0.3444605590873043
CC(C)(C)OC(=O)N[C@@H]1CC[C@@H](n2cnc3cnc4[nH]ccc4c32)C1,2.2,0.7884573603642703,0.5661046277759588
C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N(C)CCN(C)C)cc4OC)nc32)c1,2.6,0.9555114450274363,0.5910954711441265
COc1cc(OC2CCN(Cc3c[n+]([O-])ccc3C(F)(F)F)CC2)ccc1C(=O)N1CCC(N2C(=O)OCc3ccccc32)CC1,1.883,0.6328662496750154,0.542828614594033
CCCCN1C(=O)C(CC2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)NC)cc3)cc1)CC2.Cl,0.3317,-1.1035243330291302,0.2830692368702466
CC(C)CN1CCC(NC(=O)c2ccc(OC3CCN(C(C)C)CC3)cc2)C1,17.51,2.8627721462977607,0.8764165606811719
NS(=O)(=O)c1ccc(-n2nc(CCCNC(=O)Nc3ccc(C(F)(F)F)cc3)cc2-c2ccccc2)cc1,13.0,2.5649493574615367,0.8318630696229672
Nc1ccn([C@@H]2O[C@@](CO)(CF)[C@@H](O)[C@H]2F)c(=O)n1,9.49,2.2502386126218363,0.7847831856056058
CN1CCCCC1c1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1,0.45,-0.7985076962177716,0.3286989083063421
CS(=O)(=O)[C@H]1CCC[C@H](NC(=O)C2CCN(c3nc4cc(Cl)c(C(F)(F)F)cc4o3)CC2)C1,17.0,2.833213344056216,0.8719946430820991
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCCC3=O)cc2)ncc1Cl,0.6,-0.5108256237659907,0.3717353753700985
Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cc3)c(C#N)cc2F)n[nH]1,5.7,1.7404661748405046,0.70852259508075
Cc1cccc(Nc2ccc(-c3ccc(N4CCNCC4)nc3)cc2)n1,4.8,1.5686159179138452,0.6828142571954899
COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CC2CCN(C(=O)C(C)C)CC2)C[C@H]1OC,0.98,-0.0202027073175194,0.4451312488234152
COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n1)CC/C(=N\N1CCN(C)CC1)C2(C)C,3.04,1.1118575154181305,0.6144844242741296
CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CCN(C(=O)C(C)C)C3)C2)c1cccc(F)c1,1.4,0.3364722366212129,0.4984888645638235
CCOCCn1cc(C2CCN(CCOc3ccccc3C(=O)O)CC2)c2ccccc21,1.1,0.0953101798043249,0.462411667167495
CS(=O)(=O)c1ccc2nc(N3CCN(C(=O)[C@@H]4CCCC[C@H]4C(=O)NC4(C#N)CC4)CC3)sc2c1,1.4,0.3364722366212129,0.4984888645638235
NCCCC[C@H](N)C(=O)O.O=C(Nc1nnc(Cc2cc(F)cc(F)c2)s1)c1ccc(O[C@H]2CC[C@@H](C(=O)O)CC2)cc1,7.4,2.0014800002101243,0.7475695638507192
COc1cccc(OC)c1CNC(=O)c1cc2cc(C[C@@H](C)NC[C@H](O)c3ccc(O)c(CO)c3)ccc2[nH]1,1.6,0.4700036292457356,0.5184648030423189
Cc1cc(CNC(=O)c2cc(-c3ccc(C(C)(C)C)cc3)n(C)n2)ccc1OC(C)(C)C(=O)O,0.83,-0.1863295781914934,0.4202791141532193
O=C(Cc1ccc(OCC[C@@H]2C[C@@H]2C2CCN(c3ncc(Cl)cn3)CC2)cc1)N1CCC1,4.7,1.547562508716013,0.6796647236016851
CC(C(=O)N[C@H]1C2CC3CC1C[C@](O)(C3)C2)N1CCN(c2ccc(C(F)(F)F)cn2)CC1,1.6,0.4700036292457356,0.5184648030423189
CC(=O)N1CC=C(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCCCC3)cc2)CC1,1.4,0.3364722366212129,0.4984888645638235
CC[C@H](C)Nc1cc(C(=O)NC2CC3CCC(C2)N3c2ccc(C(=O)C3CC3)cn2)c(C)cc1C(N)=O,1.0,0.0,0.4481535196957681
COC(C)(C)C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,2.4,0.8754687373538999,0.5791212965870262
O=C(N[C@H](CO)c1ccc(Cl)c(F)c1)N1CCc2cnc(NC3CCOCC3)nc2C1,1.7,0.5306282510621704,0.5275340839947946
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc([C@H]3CC[C@H](c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)CC3)cc2)[nH]1)C(C)C,1.33,0.2851789422336624,0.4908155251871706
